phrase,definition,example,ipa
seemingly,as far as one can judge from appearances,"The seemingly minor issue caused a major delay.
Vấn đề tưởng chừng nhỏ nhặt này lại gây ra sự chậm trễ nghiêm trọng.",/ˈsiːmɪŋli/
apparently,as far as one knows or can see,"Apparently, the deal fell through at the last minute.
Có vẻ như thương vụ này đã đổ bể vào phút chót.",/əˈpærəntli/
essentially,used to emphasize the basic nature of something,"The two proposals are essentially the same in scope.
Về cơ bản, hai đề xuất này giống nhau về phạm vi.",/ɪˈsɛnʃəli/
fundamentally,in a basic and important way,"The new law fundamentally changes how data is regulated.
Luật mới thay đổi một cách căn bản cách thức dữ liệu được quản lý.",/ˌfʌndəˈmɛntəli/
inherently,in a way that is a permanent characteristic,"The strategy is inherently risky but potentially lucrative.
Chiến lược này về bản chất là rủi ro nhưng có tiềm năng sinh lời lớn.",/ɪnˈhɪrəntli/
predominantly,mainly; for the most part,"The workforce is predominantly composed of younger employees.
Lực lượng lao động chủ yếu bao gồm các nhân viên trẻ tuổi.",/prɪˈdɑːmɪnəntli/
considerably,by a notable amount,"Costs have risen considerably since last year.
Chi phí đã tăng lên đáng kể so với năm ngoái.",/kənˈsɪdərəbli/
substantially,to a great extent,"Revenue grew substantially after the product redesign.
Doanh thu đã tăng trưởng đáng kể sau khi sản phẩm được thiết kế lại.",/səbˈstænʃəli/
significantly,in a way worthy of attention,"The new policy has significantly reduced processing times.
Chính sách mới đã giảm đáng kể thời gian xử lý.",/sɪɡˈnɪfɪkəntli/
relatively,in comparison with something else,"The market remained relatively stable throughout the quarter.
Thị trường vẫn tương đối ổn định trong suốt cả quý.",/ˈrɛlətɪvli/
particularly,to a higher degree than is usual,"The proposal was particularly well received by investors.
Đề xuất này được các nhà đầu tư đón nhận đặc biệt nồng nhiệt.",/pərˈtɪkjələrli/
notably,especially; in particular,"Several markets, most notably Asia, showed strong growth.
Một số thị trường, đặc biệt đáng chú ý là châu Á, đã cho thấy mức tăng trưởng mạnh.",/ˈnoʊtəbli/
remarkably,in a way that is worthy of attention,"The company remained remarkably resilient during the downturn.
Công ty đã thể hiện khả năng phục hồi đáng kinh ngạc trong giai đoạn suy thoái.",/rɪˈmɑːrkəbli/
increasingly,more and more,"Consumers are increasingly demanding sustainable products.
Người tiêu dùng ngày càng đòi hỏi các sản phẩm bền vững.",/ɪnˈkriːsɪŋli/
progressively,in a gradually developing way,"The rules have progressively tightened over the past decade.
Các quy định đã dần dần trở nên chặt chẽ hơn trong thập kỷ qua.",/prəˈɡrɛsɪvli/
gradually,slowly over a period of time,"The company gradually shifted its focus toward digital services.
Công ty đã dần dần chuyển hướng tập trung sang các dịch vụ số.",/ˈɡrædʒuəli/
abruptly,suddenly and unexpectedly,"The negotiations ended abruptly without explanation.
Các cuộc đàm phán đã kết thúc đột ngột mà không có lời giải thích.",/əˈbrʌptli/
unequivocally,in a way that leaves no doubt,"The CEO unequivocally denied the allegations.
Giám đốc điều hành đã phủ nhận các cáo buộc một cách dứt khoát.",/ˌʌnɪˈkwɪvəkəli/
explicitly,in a way that is clear and detailed,"The contract explicitly states the payment terms.
Hợp đồng nêu rõ ràng, cụ thể các điều khoản thanh toán.",/ɪkˈsplɪsɪtli/
implicitly,in a way that is suggested but not directly stated,"By staying silent, the board implicitly approved the decision.
Bằng cách giữ im lặng, hội đồng quản trị đã ngầm chấp thuận quyết định này.",/ɪmˈplɪsɪtli/
inadvertently,without intention,"The update inadvertently exposed customer data.
Bản cập nhật này đã vô tình làm lộ dữ liệu khách hàng.",/ˌɪnədˈvɜːrtəntli/
deliberately,done consciously and intentionally,"The firm deliberately delayed the announcement until after the audit.
Công ty đã cố tình trì hoãn thông báo cho đến sau khi kiểm toán xong.",/dɪˈlɪbərətli/
subsequently,after something else has happened,"The CFO resigned; subsequently, shares dropped 10%.
Giám đốc tài chính đã từ chức; sau đó, cổ phiếu đã giảm 10%.",/ˈsʌbsɪkwəntli/
simultaneously,at the same time,"The company launched in three markets simultaneously.
Công ty đã ra mắt đồng thời tại ba thị trường.",/ˌsaɪmʌlˈteɪniəsli/
concurrently,happening at the same time,"Two projects are running concurrently to meet the deadline.
Hai dự án đang được triển khai song song để kịp thời hạn.",/kənˈkɜːrəntli/
ultimately,finally; in the end,"Ultimately, the decision rests with the board.
Cuối cùng, quyết định thuộc về hội đồng quản trị.",/ˈʌltɪmətli/
eventually,at the end of a period of time or events,"The startup eventually secured funding after months of pitching.
Cuối cùng, công ty khởi nghiệp cũng đã huy động được vốn sau nhiều tháng gọi vốn.",/ɪˈvɛntʃuəli/
initially,at first,"Initially, the product struggled to gain traction.
Ban đầu, sản phẩm này gặp khó khăn trong việc thu hút sự chú ý.",/ɪˈnɪʃəli/
accordingly,in a way that is appropriate to the situation,"Demand fell, and the company adjusted production accordingly.
Nhu cầu giảm, và công ty đã điều chỉnh sản xuất cho phù hợp.",/əˈkɔːrdɪŋli/
consequently,as a result,"The factory closed; consequently, hundreds lost their jobs.
Nhà máy đã đóng cửa; do đó, hàng trăm người đã mất việc làm.",/ˈkɑːnsɪkwəntli/
hence,for this reason,"The market is saturated; hence, growth has slowed.
Thị trường đã bão hòa; vì vậy, tăng trưởng đã chậm lại.",/hɛns/
thus,as a result; therefore,"Costs rose sharply, thus reducing profit margins.
Chi phí tăng mạnh, do đó làm giảm biên lợi nhuận.",/ðʌs/
therefore,for that reason,"The client changed the scope; therefore, the timeline shifted.
Khách hàng đã thay đổi phạm vi công việc; vì vậy, tiến độ đã bị dời lại.",/ˈðɛrfɔːr/
moreover,in addition to what has been said,"The product is cheaper; moreover, it's more energy-efficient.
Sản phẩm này rẻ hơn; hơn nữa, nó còn tiết kiệm năng lượng hơn.",/mɔːrˈoʊvər/
furthermore,in addition; besides,"The proposal lacks detail; furthermore, it exceeds the budget.
Đề xuất này thiếu chi tiết; hơn nữa, nó còn vượt quá ngân sách.",/ˈfɜːrðərmɔːr/
nevertheless,in spite of that; notwithstanding,"The risks are high; nevertheless, the board approved the plan.
Rủi ro khá cao; tuy nhiên, hội đồng quản trị vẫn phê duyệt kế hoạch.",/ˌnɛvərðəˈlɛs/
whereas,in contrast; while on the other hand,"Sales grew in Asia, whereas they declined in Europe.
Doanh số tăng trưởng ở châu Á, trong khi lại sụt giảm ở châu Âu.",/wɛrˈæz/
meanwhile,at the same time; in the intervening period,"The company is cutting costs; meanwhile, competitors are expanding.
Công ty đang cắt giảm chi phí; trong khi đó, các đối thủ lại đang mở rộng.",/ˈmiːnwaɪl/
likewise,in the same way; also,"The US market slowed down; likewise, Europe saw weaker demand.
Thị trường Mỹ đã chậm lại; tương tự, châu Âu cũng ghi nhận nhu cầu yếu hơn.",/ˈlaɪkwaɪz/
similarly,in a similar way,"Similarly, the report highlights risks in the supply chain.
Tương tự, báo cáo cũng nêu bật những rủi ro trong chuỗi cung ứng.",/ˈsɪmɪlərli/
correspondingly,in a way that matches or corresponds,"Demand rose, and prices increased correspondingly.
Nhu cầu tăng lên, và giá cả cũng tăng theo tương ứng.",/ˌkɔːrəˈspɑːndɪŋli/
alternatively,as another option,"Alternatively, the company could outsource the process entirely.
Một cách khác, công ty có thể thuê ngoài toàn bộ quy trình này.",/ɔːlˈtɜːrnətɪvli/
admittedly,used to concede a point before making another,"Admittedly, the plan carries some risk, but the upside is significant.
Phải thừa nhận rằng kế hoạch này có phần rủi ro, nhưng lợi ích tiềm năng rất lớn.",/ædˈmɪtɪdli/
undeniably,in a way that cannot be denied,"The product is undeniably popular among younger users.
Không thể phủ nhận rằng sản phẩm này rất được ưa chuộng trong giới trẻ.",/ˌʌndɪˈnaɪəbli/
evidently,as is clearly seen or understood,"Evidently, the marketing campaign failed to reach its target audience.
Rõ ràng là chiến dịch marketing đã không tiếp cận được đối tượng mục tiêu.",/ˈɛvɪdəntli/
supposedly,according to what is generally assumed,"The feature was supposedly ready for launch last month.
Tính năng này được cho là đã sẵn sàng ra mắt từ tháng trước.",/səˈpoʊzɪdli/
allegedly,"said to be true, without proof","The executive allegedly leaked confidential information.
Vị lãnh đạo này bị cáo buộc đã làm rò rỉ thông tin mật.",/əˈlɛdʒɪdli/
reportedly,according to reports,"The company is reportedly considering a public offering.
Công ty được cho là đang cân nhắc việc phát hành cổ phiếu ra công chúng.",/rɪˈpɔːrtɪdli/
theoretically,according to theory rather than practice,"Theoretically, the plan should reduce costs by 15%.
Về mặt lý thuyết, kế hoạch này sẽ giảm chi phí xuống 15%.",/ˌθiəˈrɛtɪkli/
practically,in a way relating to practice; almost,"The two proposals are practically identical.
Hai đề xuất này gần như giống hệt nhau.",/ˈpræktɪkli/
virtually,almost entirely,"The old system is virtually obsolete.
Hệ thống cũ gần như đã lỗi thời hoàn toàn.",/ˈvɜːrtʃuəli/
largely,mostly; to a great extent,"The delay was largely due to a shortage of components.
Sự chậm trễ này phần lớn là do thiếu hụt linh kiện.",/ˈlɑːrdʒli/
chiefly,mainly,"The decline is chiefly attributed to falling exports.
Sự sụt giảm này chủ yếu là do xuất khẩu giảm.",/ˈtʃiːfli/
primarily,mainly,"The platform is used primarily by small business owners.
Nền tảng này chủ yếu được sử dụng bởi các chủ doanh nghiệp nhỏ.",/praɪˈmɛrəli/
exclusively,only; not including anything else,"The product is available exclusively through online retailers.
Sản phẩm này chỉ được bán độc quyền qua các nhà bán lẻ trực tuyến.",/ɪkˈskluːsɪvli/
marginally,to a very small degree,"Profits increased only marginally this quarter.
Lợi nhuận chỉ tăng nhẹ trong quý này.",/ˈmɑːrdʒɪnəli/
disproportionately,to an extent that is too large or small,"Small businesses were disproportionately affected by the policy.
Các doanh nghiệp nhỏ bị ảnh hưởng nặng nề hơn một cách không tương xứng bởi chính sách này.",/ˌdɪsprəˈpɔːrʃənətli/
unanimously,with the agreement of everyone,"The board voted unanimously to approve the merger.
Hội đồng quản trị đã bỏ phiếu nhất trí thông qua vụ sáp nhập.",/juːˈnænɪməsli/
collectively,"as a group, together","The regions collectively account for 60% of total sales.
Các khu vực này cùng nhau chiếm tới 60% tổng doanh số.",/kəˈlɛktɪvli/
individually,"separately, one by one","Each department was assessed individually before the audit.
Mỗi bộ phận đã được đánh giá riêng lẻ trước khi kiểm toán.",/ˌɪndɪˈvɪdʒuəli/
respectively,in the order already mentioned,"Revenue and profit rose 10% and 5%, respectively.
Doanh thu và lợi nhuận lần lượt tăng 10% và 5%.",/rɪˈspɛktɪvli/
strategically,in a way that serves a long-term plan,"The company is strategically positioning itself for the next decade.
Công ty đang định vị mình một cách chiến lược cho thập kỷ tới.",/strəˈtiːdʒɪkli/
systematically,according to a fixed plan or system,"The team systematically reviewed every clause of the contract.
Đội ngũ đã rà soát một cách có hệ thống từng điều khoản của hợp đồng.",/ˌsɪstəˈmætɪkli/
methodically,"in a careful, systematic manner","She methodically documented every step of the process.
Cô ấy đã ghi chép một cách bài bản, có phương pháp từng bước của quy trình.",/məˈθɑːdɪkli/
rigorously,in a thorough and careful way,"The software was rigorously tested before release.
Phần mềm đã được kiểm thử một cách nghiêm ngặt trước khi phát hành.",/ˈrɪɡərəsli/
meticulously,with great attention to detail,"The report was meticulously prepared over several weeks.
Báo cáo đã được chuẩn bị một cách tỉ mỉ, kỹ lưỡng trong nhiều tuần.",/məˈtɪkjələsli/
blatantly,in an obvious and unashamed way,"The competitor blatantly copied our product design.
Đối thủ cạnh tranh đã sao chép thiết kế sản phẩm của chúng tôi một cách trắng trợn.",/ˈbleɪtəntli/
overtly,in an open and obvious way,"The candidate has been overtly critical of the current policy.
Ứng viên này đã công khai chỉ trích chính sách hiện hành.",/oʊˈvɜːrtli/
covertly,in a secret or disguised way,"The firm was covertly gathering data on its competitors.
Công ty đã bí mật thu thập dữ liệu về các đối thủ cạnh tranh.",/ˈkoʊvərtli/
tacitly,understood without being directly stated,"The two firms tacitly agreed not to compete on price.
Hai công ty đã ngầm đồng ý không cạnh tranh về giá.",/ˈtæsɪtli/
candidly,in a truthful and direct way,"The manager spoke candidly about the challenges ahead.
Người quản lý đã nói một cách thẳng thắn về những thách thức sắp tới.",/ˈkændɪdli/
bluntly,"in a very direct way, without trying to be polite","Put bluntly, the current strategy isn't working.
Nói thẳng ra, chiến lược hiện tại không hiệu quả.",/ˈblʌntli/
diplomatically,in a way that is tactful and sensitive,"She handled the client's complaint diplomatically.
Cô ấy đã xử lý khiếu nại của khách hàng một cách khéo léo, tế nhị.",/ˌdɪpləˈmætɪkli/
tactfully,in a way that avoids giving offense,"He tactfully declined the request without damaging the relationship.
Anh ấy đã khéo léo từ chối yêu cầu mà không làm tổn hại đến mối quan hệ.",/ˈtæktfəli/
categorically,in an absolute and unconditional way,"The company categorically denied any wrongdoing.
Công ty đã hoàn toàn phủ nhận mọi hành vi sai trái.",/ˌkætəˈɡɔːrɪkli/
radically,in a thorough and fundamental way,"The industry has changed radically over the past decade.
Ngành này đã thay đổi một cách triệt để trong thập kỷ qua.",/ˈrædɪkli/
drastically,in a way that has a strong or extreme effect,"Demand for the product dropped drastically after the recall.
Nhu cầu đối với sản phẩm đã giảm mạnh sau đợt thu hồi.",/ˈdræstɪkli/
dramatically,in a way that is sudden and striking,"The company's stock price rose dramatically after the announcement.
Giá cổ phiếu của công ty đã tăng vọt một cách ngoạn mục sau thông báo.",/drəˈmætɪkli/
sharply,suddenly and to a great degree,"Consumer confidence fell sharply this month.
Niềm tin tiêu dùng đã giảm mạnh trong tháng này.",/ˈʃɑːrpli/
steadily,in a gradual and even manner,"The company's market share has grown steadily over five years.
Thị phần của công ty đã tăng trưởng đều đặn trong suốt năm năm qua.",/ˈstɛdəli/
sporadically,occurring at irregular intervals,"Supply chain issues have occurred sporadically throughout the year.
Các vấn đề về chuỗi cung ứng đã xảy ra rải rác trong suốt cả năm.",/spəˈrædɪkli/
periodically,from time to time,"The system is periodically updated to fix security issues.
Hệ thống được cập nhật định kỳ để khắc phục các vấn đề bảo mật.",/ˌpɪriˈɑːdɪkli/
occasionally,now and then; sometimes,"The team occasionally works overtime during peak season.
Đội ngũ đôi khi phải làm thêm giờ trong mùa cao điểm.",/əˈkeɪʒənəli/
frequently,often; many times,"Customers frequently ask about the return policy.
Khách hàng thường xuyên hỏi về chính sách đổi trả.",/ˈfriːkwəntli/
rarely,not often,"Such large contracts are rarely signed without legal review.
Những hợp đồng lớn như vậy hiếm khi được ký mà không qua rà soát pháp lý.",/ˈrɛrli/
seldom,not often; rarely,"The board seldom overrules the CEO's recommendations.
Hội đồng quản trị hiếm khi bác bỏ các đề xuất của giám đốc điều hành.",/ˈsɛldəm/
barely,only just; almost not,"The company barely met its revenue target this quarter.
Công ty vừa mới đạt được mục tiêu doanh thu trong quý này, một cách sát sao.",/ˈbɛrli/
scarcely,hardly; barely,"The firm has scarcely recovered from last year's losses.
Công ty hầu như chưa hồi phục được từ những khoản lỗ của năm ngoái.",/ˈskɛrsli/
