phrase,definition,example,ipa
meager,lacking in quantity or quality,"The startup survived on meager funding for its first two years.
Công ty khởi nghiệp này đã tồn tại với nguồn vốn ít ỏi trong hai năm đầu.",/ˈmiːɡər/
mundane,lacking interest or excitement; ordinary,"Automation has taken over many mundane administrative tasks.
Tự động hóa đã đảm nhận nhiều công việc hành chính nhàm chán, thường nhật.",/mʌnˈdeɪn/
notorious,famous for something bad,"The industry is notorious for its poor labor practices.
Ngành này nổi tiếng (theo nghĩa xấu) vì các điều kiện lao động kém.",/noʊˈtɔːriəs/
obsolete,no longer produced or used; out of date,"The technology quickly became obsolete after the new standard emerged.
Công nghệ này nhanh chóng trở nên lỗi thời sau khi tiêu chuẩn mới xuất hiện.",/ˌɑːbsəˈliːt/
onerous,involving heavy obligations; burdensome,"Small businesses find the new compliance rules particularly onerous.
Các doanh nghiệp nhỏ thấy các quy định tuân thủ mới đặc biệt nặng nề.",/ˈoʊnərəs/
paramount,more important than anything else,"Data security is paramount when handling customer information.
Bảo mật dữ liệu là điều tối quan trọng khi xử lý thông tin khách hàng.",/ˈpærəmaʊnt/
plausible,seeming reasonable or probable,"The company offered a plausible explanation for the delay.
Công ty đã đưa ra một lời giải thích hợp lý cho sự chậm trễ.",/ˈplɔːzəbəl/
pragmatic,dealing with things sensibly and realistically,"The manager took a pragmatic approach to solving the staffing issue.
Người quản lý đã áp dụng cách tiếp cận thực tế để giải quyết vấn đề nhân sự.",/præɡˈmætɪk/
precarious,not securely held or in a dangerous state,"The company's financial position remains precarious.
Tình hình tài chính của công ty vẫn còn bấp bênh.",/prɪˈkɛriəs/
prevalent,widespread in a particular area or time,"Remote hiring has become increasingly prevalent since the pandemic.
Việc tuyển dụng từ xa đã trở nên ngày càng phổ biến kể từ sau đại dịch.",/ˈprɛvələnt/
proactive,taking action to control a situation rather than reacting,"The team took a proactive approach to preventing customer churn.
Đội ngũ đã chủ động thực hiện các biện pháp để ngăn khách hàng rời bỏ.",/proʊˈæktɪv/
prolific,producing a large amount of something,"She is a prolific writer, publishing several reports a month.
Cô ấy là một cây bút sung sức, xuất bản nhiều báo cáo mỗi tháng.",/prəˈlɪfɪk/
prominent,important or well-known,"Several prominent investors backed the new venture.
Một số nhà đầu tư có tiếng đã rót vốn vào dự án mới này.",/ˈprɑːmɪnənt/
rampant,flourishing or spreading unchecked,"Corruption remains rampant in certain sectors of the economy.
Tham nhũng vẫn hoành hành trong một số lĩnh vực của nền kinh tế.",/ˈræmpənt/
ruthless,having no pity or compassion,"The market has become ruthless for companies that fail to innovate.
Thị trường đã trở nên khắc nghiệt, không khoan nhượng với những công ty không chịu đổi mới.",/ˈruːθləs/
skeptical,not easily convinced; having doubts,"Analysts remain skeptical about the company's growth targets.
Các nhà phân tích vẫn hoài nghi về các mục tiêu tăng trưởng của công ty.",/ˈskɛptɪkəl/
staggering,"astonishing, especially because of size or degree","The company reported a staggering 40% increase in revenue.
Công ty đã báo cáo mức tăng doanh thu đáng kinh ngạc lên tới 40%.",/ˈstæɡərɪŋ/
stringent,"strict, precise, and exacting","The new regulations impose stringent requirements on data handling.
Các quy định mới áp đặt những yêu cầu rất nghiêm ngặt về xử lý dữ liệu.",/ˈstrɪndʒənt/
subtle,not immediately obvious; delicate,"There's a subtle difference between the two proposals.
Có một sự khác biệt tinh tế giữa hai đề xuất này.",/ˈsʌtəl/
tangible,clear and definite; able to be perceived,"The new strategy has already produced tangible results.
Chiến lược mới đã mang lại những kết quả rõ ràng, cụ thể.",/ˈtændʒəbəl/
tentative,not certain or fixed; provisional,"We've reached a tentative agreement on the pricing terms.
Chúng tôi đã đạt được thỏa thuận tạm thời về các điều khoản giá.",/ˈtɛntətɪv/
viable,capable of working successfully,"The proposal outlines a viable path to profitability.
Đề xuất này vạch ra một con đường khả thi để đạt lợi nhuận.",/ˈvaɪəbəl/
vigilant,keeping careful watch for possible danger,"Companies must stay vigilant against cybersecurity threats.
Các công ty phải luôn cảnh giác trước các mối đe dọa an ninh mạng.",/ˈvɪdʒələnt/
wary,feeling cautious about possible dangers,"Investors are wary of entering an overheated market.
Các nhà đầu tư thận trọng khi bước vào một thị trường đang quá nóng.",/ˈwɛri/
abrupt,sudden and unexpected,"The CEO's abrupt resignation shocked the entire industry.
Việc từ chức đột ngột của giám đốc điều hành đã gây chấn động toàn ngành.",/əˈbrʌpt/
adverse,preventing success or development; harmful,"The policy could have adverse effects on small businesses.
Chính sách này có thể gây ra những tác động bất lợi cho các doanh nghiệp nhỏ.",/ædˈvɜːrs/
ambivalent,having mixed feelings about something,"Employees feel ambivalent about the return-to-office mandate.
Nhân viên có tâm lý mâu thuẫn, nửa đồng ý nửa phản đối, về yêu cầu quay lại văn phòng.",/æmˈbɪvələnt/
arduous,involving great effort and difficulty,"Securing regulatory approval was an arduous process.
Việc xin được sự phê duyệt của cơ quan quản lý là một quá trình gian nan.",/ˈɑːrdʒuəs/
blatant,done openly and unashamedly,"The report exposed a blatant violation of the company's policy.
Báo cáo đã phơi bày một hành vi vi phạm trắng trợn chính sách của công ty.",/ˈbleɪtənt/
compelling,evoking interest or attention in a powerful way,"The founder made a compelling case for investment.
Nhà sáng lập đã đưa ra một luận điểm rất thuyết phục để kêu gọi đầu tư.",/kəmˈpɛlɪŋ/
comprehensive,complete and including everything necessary,"The consultancy delivered a comprehensive market analysis.
Công ty tư vấn đã cung cấp một bản phân tích thị trường toàn diện.",/ˌkɑːmprɪˈhɛnsɪv/
controversial,giving rise to public disagreement,"The tax reform remains a controversial issue in parliament.
Cải cách thuế vẫn là một vấn đề gây tranh cãi trong quốc hội.",/ˌkɑːntrəˈvɜːrʃəl/
cumulative,increasing by successive additions,"The cumulative effect of small price hikes has hurt consumers.
Tác động tích lũy của những đợt tăng giá nhỏ đã gây thiệt hại cho người tiêu dùng.",/ˈkjuːmjəleɪtɪv/
daunting,seeming difficult to deal with; intimidating,"Entering a new market can be a daunting task for a small firm.
Việc bước vào một thị trường mới có thể là nhiệm vụ đầy thách thức đối với một công ty nhỏ.",/ˈdɔːntɪŋ/
deceptive,giving an appearance different from the true one,"The headline figures can be deceptive without proper context.
Các con số trên tiêu đề có thể gây hiểu lầm nếu thiếu bối cảnh phù hợp.",/dɪˈsɛptɪv/
deliberate,done consciously and intentionally,"The delay appears to be a deliberate stalling tactic.
Sự chậm trễ này có vẻ là một chiến thuật trì hoãn có chủ đích.",/dɪˈlɪbərət/
discreet,careful not to attract attention; tactful,"The negotiations were conducted in a discreet manner.
Các cuộc đàm phán được tiến hành một cách kín đáo, thận trọng.",/dɪˈskriːt/
disproportionate,too large or small in relation to something else,"The fine seems disproportionate to the size of the violation.
Mức phạt này có vẻ không tương xứng với mức độ vi phạm.",/ˌdɪsprəˈpɔːrʃənət/
elusive,"difficult to find, catch, or achieve","A profitable business model has remained elusive for the startup.
Một mô hình kinh doanh có lợi nhuận vẫn là điều khó nắm bắt đối với công ty khởi nghiệp này.",/ɪˈluːsɪv/
erratic,not consistent or regular in pattern,"The stock has shown erratic performance over the past month.
Cổ phiếu này đã có diễn biến thất thường trong tháng qua.",/ɪˈrætɪk/
exorbitant,unreasonably high in price,"Customers complained about the exorbitant service fees.
Khách hàng đã phàn nàn về mức phí dịch vụ quá cao, bất hợp lý.",/ɪɡˈzɔːrbɪtənt/
feasible,possible to do easily or conveniently,"The engineers confirmed the plan is technically feasible.
Các kỹ sư đã xác nhận kế hoạch này khả thi về mặt kỹ thuật.",/ˈfiːzəbəl/
flawed,having a defect or imperfection,"Critics say the survey methodology was fundamentally flawed.
Các nhà phê bình cho rằng phương pháp khảo sát này có sai sót căn bản.",/flɔːd/
fragile,"easily broken, damaged, or destroyed","The ceasefire remains fragile amid ongoing skirmishes.
Lệnh ngừng bắn vẫn còn mong manh giữa lúc các cuộc đụng độ vẫn tiếp diễn.",/ˈfrædʒəl/
frivolous,not having any serious purpose or value,"The court dismissed the lawsuit as frivolous.
Tòa án đã bác đơn kiện vì cho rằng nó không có căn cứ nghiêm túc.",/ˈfrɪvələs/
genuine,truly what it is said to be; authentic,"Customers appreciate genuine engagement from the brand.
Khách hàng đánh giá cao sự tương tác chân thành từ thương hiệu.",/ˈdʒɛnjuɪn/
hasty,done with excessive speed; rash,"The board was criticized for making a hasty decision.
Hội đồng quản trị bị chỉ trích vì đưa ra quyết định quá vội vàng.",/ˈheɪsti/
impartial,treating all sides equally; unbiased,"An impartial committee was appointed to review the complaint.
Một ủy ban khách quan đã được chỉ định để xem xét khiếu nại.",/ɪmˈpɑːrʃəl/
incessant,continuing without pause,"The incessant demand for the product overwhelmed production capacity.
Nhu cầu không ngừng đối với sản phẩm đã vượt quá năng lực sản xuất.",/ɪnˈsɛsənt/
indispensable,absolutely necessary,"Reliable data has become indispensable for strategic planning.
Dữ liệu đáng tin cậy đã trở thành yếu tố không thể thiếu cho việc hoạch định chiến lược.",/ˌɪndɪˈspɛnsəbəl/
inherent,existing as a natural or basic part of something,"There are inherent risks in entering an unregulated market.
Có những rủi ro vốn có khi bước vào một thị trường chưa được quản lý chặt chẽ.",/ɪnˈhɪriənt/
insidious,"proceeding in a gradual, harmful way","Wage stagnation has an insidious effect on long-term morale.
Tình trạng lương không tăng có tác động âm ỉ, gây hại đến tinh thần làm việc lâu dài.",/ɪnˈsɪdiəs/
insightful,showing deep understanding,"The panel offered several insightful comments on market trends.
Hội đồng đã đưa ra một số nhận định sâu sắc về xu hướng thị trường.",/ˈɪnsaɪtfəl/
integral,necessary to make a whole complete,"Data analytics is now integral to the company's decision-making.
Phân tích dữ liệu giờ đây là một phần không thể tách rời trong việc ra quyết định của công ty.",/ɪnˈtɛɡrəl/
lenient,more merciful or tolerant than expected,"The judge was criticized for handing down a lenient sentence.
Vị thẩm phán bị chỉ trích vì đã tuyên một bản án quá khoan hồng.",/ˈliːniənt/
lucid,expressed clearly; easy to understand,"She gave a lucid explanation of the complex merger deal.
Cô ấy đã đưa ra một lời giải thích rõ ràng, dễ hiểu về thương vụ sáp nhập phức tạp này.",/ˈluːsɪd/
malleable,easily influenced or shaped,"Young companies tend to have a more malleable corporate culture.
Các công ty non trẻ thường có văn hóa doanh nghiệp dễ uốn nắn, linh hoạt hơn.",/ˈmæliəbəl/
nuanced,characterized by subtle distinctions,"The report offers a nuanced view of the economic outlook.
Báo cáo đưa ra một cái nhìn tinh tế, nhiều sắc thái về triển vọng kinh tế.",/ˈnuːɑːnst/
opaque,not able to be seen through; unclear,"The company's pricing model remains opaque to most customers.
Mô hình định giá của công ty vẫn còn mập mờ, khó hiểu đối với hầu hết khách hàng.",/oʊˈpeɪk/
outspoken,direct and forthright in speech,"She is known as an outspoken critic of corporate greed.
Cô ấy được biết đến là người thẳng thắn, mạnh mẽ phê phán lòng tham của doanh nghiệp.",/ˌaʊtˈspoʊkən/
overt,done openly; not secret,"There was overt tension between the two negotiating teams.
Có một sự căng thẳng rõ ràng, công khai giữa hai đội đàm phán.",/oʊˈvɜːrt/
pertinent,relevant to a particular matter,"Please include all pertinent details in the report.
Vui lòng đưa vào báo cáo tất cả các chi tiết liên quan, có tính xác đáng.",/ˈpɜːrtənənt/
profound,very great or intense; deep,"The pandemic had a profound impact on global supply chains.
Đại dịch đã gây ra tác động sâu sắc đến chuỗi cung ứng toàn cầu.",/prəˈfaʊnd/
rigorous,extremely thorough and careful,"The candidates go through a rigorous selection process.
Các ứng viên phải trải qua một quy trình tuyển chọn vô cùng nghiêm ngặt.",/ˈrɪɡərəs/
robust,strong and healthy; able to withstand difficulty,"The company reported robust growth despite the downturn.
Công ty đã báo cáo mức tăng trưởng mạnh mẽ bất chấp suy thoái.",/roʊˈbʌst/
scarce,insufficient for the demand; rare,"Skilled labor remains scarce in the technology sector.
Lao động có tay nghề vẫn còn khan hiếm trong ngành công nghệ.",/skɛrs/
sluggish,slow-moving or lacking energy,"Consumer spending has been sluggish this quarter.
Chi tiêu tiêu dùng đã diễn ra chậm chạp, ì ạch trong quý này.",/ˈslʌɡɪʃ/
sporadic,occurring at irregular intervals,"There have been sporadic reports of supply shortages.
Đã có một số báo cáo rải rác, không thường xuyên về tình trạng thiếu hụt nguồn cung.",/spəˈrædɪk/
tumultuous,characterized by conflict or disorder,"The company went through a tumultuous period of leadership change.
Công ty đã trải qua một giai đoạn hỗn loạn, đầy biến động khi thay đổi lãnh đạo.",/tuːˈmʌltʃuəs/
unprecedented,never done or known before,"The company achieved unprecedented growth last year.
Công ty đã đạt được mức tăng trưởng chưa từng có trong năm qua.",/ʌnˈprɛsɪdɛntɪd/
unwavering,not wavering; steady and firm,"The team showed unwavering commitment to the deadline.
Đội ngũ đã thể hiện sự cam kết kiên định, không lay chuyển với thời hạn đề ra.",/ʌnˈweɪvərɪŋ/
vague,not clearly expressed or defined,"The client's requirements were too vague to start development.
Yêu cầu của khách hàng quá mơ hồ để có thể bắt đầu phát triển.",/veɪɡ/
vulnerable,susceptible to being harmed,"Small businesses are particularly vulnerable to economic shocks.
Các doanh nghiệp nhỏ đặc biệt dễ bị tổn thương trước những cú sốc kinh tế.",/ˈvʌlnərəbəl/
