phrase,definition,example,ipa
deterrent,something that discourages an action,"Heavy fines serve as a deterrent against pollution.
Các khoản phạt nặng đóng vai trò răn đe đối với hành vi gây ô nhiễm.",/dɪˈtɜːrənt/
dichotomy,a division between two contradictory things,"There's a growing dichotomy between urban and rural economies.
Đang có một sự phân hóa ngày càng lớn giữa nền kinh tế thành thị và nông thôn.",/daɪˈkɑːtəmi/
discourse,written or spoken communication or debate,"Public discourse around AI ethics has intensified this year.
Cuộc thảo luận công khai xoay quanh đạo đức AI đã trở nên sôi nổi hơn trong năm nay.",/ˈdɪskɔːrs/
dividend,a sum of profit paid to shareholders,"The company announced a higher dividend for shareholders.
Công ty đã công bố mức cổ tức cao hơn cho các cổ đông.",/ˈdɪvɪdɛnd/
doctrine,a set of beliefs held by a group,"The new administration is reviewing its foreign policy doctrine.
Chính quyền mới đang xem xét lại học thuyết chính sách đối ngoại của mình.",/ˈdɑːktrɪn/
downturn,a decline in economic activity,"The industry faced a sharp downturn during the pandemic.
Ngành này đã trải qua một đợt suy thoái mạnh trong thời kỳ đại dịch.",/ˈdaʊntɜːrn/
embargo,an official ban on trade with a country,"The trade embargo has hurt exporters on both sides.
Lệnh cấm vận thương mại đã gây thiệt hại cho các nhà xuất khẩu của cả hai bên.",/ɪmˈbɑːrɡoʊ/
epidemic,a widespread occurrence of something undesirable,"The country is facing an epidemic of job losses in manufacturing.
Quốc gia này đang đối mặt với làn sóng mất việc làm tràn lan trong ngành sản xuất.",/ˌɛpɪˈdɛmɪk/
equity,"fairness; also, ownership value in a company","The firm raised additional capital by selling equity.
Công ty đã huy động thêm vốn bằng cách bán cổ phần.",/ˈɛkwəti/
escalation,an increase in intensity or extent,"Analysts fear a further escalation in trade tensions.
Các nhà phân tích lo ngại về việc căng thẳng thương mại sẽ tiếp tục leo thang.",/ˌɛskəˈleɪʃən/
exodus,a mass departure of people,"The city saw an exodus of young talent to larger tech hubs.
Thành phố này đã chứng kiến một làn sóng nhân tài trẻ rời đi đến các trung tâm công nghệ lớn hơn.",/ˈɛksədəs/
fallout,the negative results of an event or action,"The company is still dealing with the fallout from the data breach.
Công ty vẫn đang xử lý những hậu quả từ vụ rò rỉ dữ liệu.",/ˈfɔːlaʊt/
feasibility,the possibility of a plan being carried out,"The team conducted a feasibility study before the launch.
Đội ngũ đã tiến hành một nghiên cứu khả thi trước khi ra mắt.",/ˌfiːzəˈbɪləti/
friction,conflict or disagreement between people,"There's growing friction between the two departments over budget.
Đang có sự bất đồng ngày càng gia tăng giữa hai bộ phận về vấn đề ngân sách.",/ˈfrɪkʃən/
hierarchy,a system of ranking people or things,"The company flattened its management hierarchy to speed up decisions.
Công ty đã làm phẳng hệ thống cấp bậc quản lý để đẩy nhanh việc ra quyết định.",/ˈhaɪərɑːrki/
hindsight,understanding of a situation only after it happens,"In hindsight, the company should have diversified earlier.
Nhìn lại, đáng lẽ công ty nên đa dạng hóa sớm hơn.",/ˈhaɪndsaɪt/
ideology,a system of ideas and ideals,"The two parties differ sharply in economic ideology.
Hai đảng này có sự khác biệt sâu sắc về hệ tư tưởng kinh tế.",/ˌaɪdiˈɑːlədʒi/
inflation,a general rise in prices over time,"Rising inflation has reduced consumers' purchasing power.
Lạm phát gia tăng đã làm giảm sức mua của người tiêu dùng.",/ɪnˈfleɪʃən/
infrastructure,the basic physical systems of a country or organization,"The government plans to invest heavily in digital infrastructure.
Chính phủ dự định đầu tư mạnh vào cơ sở hạ tầng số.",/ˈɪnfrəstrʌktʃər/
initiative,a new plan or process to achieve a goal,"The company launched a new initiative to reduce plastic waste.
Công ty đã khởi động một sáng kiến mới nhằm giảm thiểu rác thải nhựa.",/ɪˈnɪʃətɪv/
insight,a deep understanding of a situation,"Customer data provides valuable insight into buying behavior.
Dữ liệu khách hàng cung cấp những hiểu biết quý giá về hành vi mua sắm.",/ˈɪnsaɪt/
integrity,the quality of being honest and having strong moral principles,"The company prides itself on maintaining data integrity.
Công ty tự hào về việc duy trì tính toàn vẹn của dữ liệu.",/ɪnˈtɛɡrəti/
jurisdiction,the official power to make legal decisions,"The case falls under the jurisdiction of federal courts.
Vụ việc này thuộc thẩm quyền xét xử của tòa án liên bang.",/ˌdʒʊrɪsˈdɪkʃən/
legacy,something handed down from the past,"The founder's legacy continues to shape company culture.
Di sản của nhà sáng lập vẫn tiếp tục định hình văn hóa công ty.",/ˈlɛɡəsi/
legitimacy,conformity to the law or to rules,"The election results raised questions about the government's legitimacy.
Kết quả bầu cử đã làm dấy lên nghi vấn về tính hợp pháp của chính phủ.",/lɪˈdʒɪtɪməsi/
leverage,influence or power used to achieve a desired result,"The union used its leverage to negotiate better wages.
Công đoàn đã sử dụng lợi thế của mình để đàm phán mức lương tốt hơn.",/ˈlɛvərɪdʒ/
liability,"a legal responsibility for something, especially a debt","The company recorded a significant liability on its balance sheet.
Công ty đã ghi nhận một khoản nợ phải trả đáng kể trên bảng cân đối kế toán.",/ˌlaɪəˈbɪləti/
loophole,an ambiguity that allows a rule to be avoided,"Lawmakers are working to close a tax loophole used by large firms.
Các nhà lập pháp đang nỗ lực bịt kín một kẽ hở thuế mà các công ty lớn thường lợi dụng.",/ˈluːphoʊl/
mediation,intervention to resolve a dispute,"The two companies agreed to mediation instead of litigation.
Hai công ty đã đồng ý hòa giải thay vì đưa nhau ra tòa.",/ˌmiːdiˈeɪʃən/
monopoly,exclusive control of a market by one entity,"Regulators accused the firm of holding an unfair monopoly.
Các cơ quan quản lý đã cáo buộc công ty này nắm giữ thế độc quyền không công bằng.",/məˈnɑːpəli/
nuance,a subtle difference in meaning or expression,"Understanding cultural nuance is key to global marketing success.
Hiểu được những sắc thái văn hóa tinh tế là chìa khóa cho thành công của marketing toàn cầu.",/ˈnuːɑːns/
obstacle,something that blocks progress,"Regulatory approval remains the biggest obstacle to the merger.
Việc xin phê duyệt của cơ quan quản lý vẫn là trở ngại lớn nhất đối với vụ sáp nhập.",/ˈɑːbstəkəl/
outlook,a general view or expectation of the future,"The economic outlook remains uncertain for next year.
Triển vọng kinh tế cho năm tới vẫn còn nhiều bất định.",/ˈaʊtlʊk/
outrage,an extremely strong reaction of anger,"The layoffs sparked public outrage on social media.
Việc sa thải hàng loạt đã gây ra làn sóng phẫn nộ của công chúng trên mạng xã hội.",/ˈaʊtreɪdʒ/
oversight,"the action of overseeing something; also, an unintentional failure","The committee provides oversight of the company's financial practices.
Ủy ban thực hiện việc giám sát các hoạt động tài chính của công ty.",/ˈoʊvərsaɪt/
paradox,a statement that seems contradictory but may be true,"It's a paradox that lower prices sometimes reduce trust in quality.
Đó là một nghịch lý khi giá thấp đôi khi lại làm giảm niềm tin vào chất lượng.",/ˈpærədɑːks/
parity,the state of being equal,"The company aims to achieve pay parity across genders by 2027.
Công ty đặt mục tiêu đạt được sự công bằng về lương giữa các giới vào năm 2027.",/ˈpærəti/
phenomenon,a fact or situation observed to exist,"Remote work is a relatively new phenomenon for many industries.
Làm việc từ xa là một hiện tượng còn khá mới mẻ đối với nhiều ngành nghề.",/fɪˈnɑːmɪnən/
pitfall,an unsuspected danger or difficulty,"The guide highlights common pitfalls in international expansion.
Tài liệu hướng dẫn nêu bật những cạm bẫy thường gặp khi mở rộng ra quốc tế.",/ˈpɪtfɔːl/
plight,a difficult or unfortunate situation,"The report draws attention to the plight of low-wage workers.
Báo cáo hướng sự chú ý đến hoàn cảnh khó khăn của những người lao động lương thấp.",/plaɪt/
polarization,division into two sharply contrasting groups,"Political polarization has made bipartisan reform difficult.
Sự phân cực chính trị đã khiến việc cải cách lưỡng đảng trở nên khó khăn.",/ˌpoʊlərəˈzeɪʃən/
precedent,an earlier event used as a guide for later ones,"The court ruling sets an important precedent for future cases.
Phán quyết của tòa án tạo ra một tiền lệ quan trọng cho các vụ việc trong tương lai.",/ˈprɛsɪdənt/
premise,a statement that forms the basis of an argument,"The business plan rests on the premise of rapid market growth.
Kế hoạch kinh doanh này dựa trên tiền đề về sự tăng trưởng nhanh chóng của thị trường.",/ˈprɛmɪs/
prerequisite,a thing required as a prior condition,"A stable internet connection is a prerequisite for remote work.
Kết nối internet ổn định là điều kiện tiên quyết để làm việc từ xa.",/ˌpriːˈrɛkwɪzɪt/
proponent,a person who advocates for something,"She is a leading proponent of renewable energy policy.
Cô ấy là một trong những người ủng hộ hàng đầu cho chính sách năng lượng tái tạo.",/prəˈpoʊnənt/
prosperity,"the state of being successful, typically financially","The trade deal is expected to bring shared prosperity to both nations.
Thỏa thuận thương mại này được kỳ vọng sẽ mang lại sự thịnh vượng chung cho cả hai quốc gia.",/prɑːˈspɛrəti/
provision,a condition or requirement within a legal agreement,"The contract includes a provision for early termination.
Hợp đồng có bao gồm một điều khoản cho phép chấm dứt sớm.",/prəˈvɪʒən/
quota,a fixed share that is required or allowed,"The country imposed a quota on steel imports.
Quốc gia này đã áp đặt hạn ngạch đối với thép nhập khẩu.",/ˈkwoʊtə/
rationale,a set of reasons for a course of action,"The rationale behind the price increase wasn't clearly communicated.
Lý do đằng sau việc tăng giá đã không được truyền đạt rõ ràng.",/ˌræʃəˈnæl/
recession,a period of temporary economic decline,"Economists warn the country could enter a recession next year.
Các nhà kinh tế cảnh báo quốc gia này có thể rơi vào suy thoái vào năm tới.",/rɪˈsɛʃən/
reform,a change made to improve something,"The government introduced sweeping labor reform this year.
Chính phủ đã đưa ra một cuộc cải cách lao động sâu rộng trong năm nay.",/rɪˈfɔːrm/
regime,a system or form of government or management,"The new regime has introduced stricter import controls.
Chính quyền mới đã áp dụng các biện pháp kiểm soát nhập khẩu chặt chẽ hơn.",/reɪˈʒiːm/
resilience,the capacity to recover quickly from difficulties,"The company's resilience during the crisis impressed investors.
Khả năng phục hồi của công ty trong khủng hoảng đã gây ấn tượng với các nhà đầu tư.",/rɪˈzɪljəns/
revenue,income generated from business activities,"The company's revenue grew by 20% last quarter.
Doanh thu của công ty đã tăng 20% trong quý vừa qua.",/ˈrɛvənuː/
rhetoric,"persuasive language, sometimes lacking sincerity","Critics say the campaign's rhetoric doesn't match its actions.
Các nhà phê bình cho rằng lời lẽ hoa mỹ của chiến dịch không đi đôi với hành động thực tế.",/ˈrɛtərɪk/
sanction,an official penalty imposed for breaking a rule,"The country faces economic sanctions over the violation.
Quốc gia này đang đối mặt với các lệnh trừng phạt kinh tế vì vi phạm.",/ˈsæŋkʃən/
scarcity,the state of being scarce or in short supply,"Water scarcity is becoming a pressing issue in the region.
Tình trạng khan hiếm nước đang trở thành một vấn đề cấp bách trong khu vực.",/ˈskɛrsəti/
shortfall,a deficit between what is needed and what is available,"The company reported a shortfall in its quarterly revenue target.
Công ty đã báo cáo mức thiếu hụt so với mục tiêu doanh thu quý.",/ˈʃɔːrtfɔːl/
spectrum,a range of related qualities or ideas,"The panel includes voices from across the political spectrum.
Hội đồng bao gồm các tiếng nói từ nhiều phía khác nhau trên phổ chính trị.",/ˈspɛktrəm/
stagnation,a state of little or no growth,"Wage stagnation has fueled public frustration.
Tình trạng lương không tăng đã làm gia tăng sự bất mãn trong công chúng.",/stæɡˈneɪʃən/
stalemate,a situation in which no progress can be made,"Negotiations have reached a stalemate over pricing terms.
Các cuộc đàm phán đã rơi vào bế tắc liên quan đến điều khoản giá.",/ˈsteɪlmeɪt/
stance,a publicly stated opinion or position,"The company softened its stance on remote work policies.
Công ty đã làm dịu bớt lập trường của mình về chính sách làm việc từ xa.",/stæns/
subsidy,money granted by the government to support a business,"Farmers rely heavily on government subsidies.
Nông dân phụ thuộc rất nhiều vào các khoản trợ cấp của chính phủ.",/ˈsʌbsɪdi/
surplus,an amount left over after requirements are met,"The country recorded a trade surplus for the first time in years.
Quốc gia này đã ghi nhận thặng dư thương mại lần đầu tiên sau nhiều năm.",/ˈsɜːrpləs/
tariff,a tax imposed on imported goods,"New tariffs have raised the cost of imported steel.
Các mức thuế mới đã làm tăng chi phí thép nhập khẩu.",/ˈtærɪf/
threshold,the point at which something begins to take effect,"Sales have finally crossed the profitability threshold.
Doanh số cuối cùng đã vượt qua ngưỡng có lãi.",/ˈθrɛʃhoʊld/
transparency,the quality of being open and honest,"Investors are demanding greater transparency in financial reporting.
Các nhà đầu tư đang yêu cầu tính minh bạch cao hơn trong báo cáo tài chính.",/trænsˈpɛrənsi/
turnout,the number of people attending or participating,"Voter turnout was higher than expected this election.
Tỷ lệ cử tri đi bầu đã cao hơn dự kiến trong kỳ bầu cử này.",/ˈtɜːrnaʊt/
underdog,a competitor thought to have little chance of success,"The smaller startup was seen as the underdog in the bidding war.
Công ty khởi nghiệp nhỏ hơn được xem là kẻ yếu thế trong cuộc chiến đấu thầu.",/ˈʌndərdɔːɡ/
volatility,the tendency to change rapidly and unpredictably,"Currency volatility has made international pricing more difficult.
Sự biến động của tiền tệ đã khiến việc định giá quốc tế trở nên khó khăn hơn.",/ˌvɑːləˈtɪləti/
